date,symbol,price,price_usd,change_in_value_try,change_in_value_usd,change_in_prcntg_try,change_in_prcntg_usd
2022-10-25,ZOREN.IS,2.694,0.14490882685170242,0.053999999999999826,0.0026214494667719246,0.02045454545454528,0.01842362629033567
2022-10-26,ZOREN.IS,2.664,0.14317192454452626,-0.029999999999999805,-0.001736902307176158,-0.011135857461024412,-0.011986173271236855
2022-10-27,ZOREN.IS,2.676,0.14394835933297473,0.01200000000000001,0.0007764347884484657,0.0045045045045044585,0.005423093884632468
2022-10-28,ZOREN.IS,2.731,0.1467569455639744,0.054999999999999716,0.0028085862309996656,0.020553064275037336,0.01951106802476965
2022-10-31,ZOREN.IS,2.864,0.154202336725354,0.133,0.0074453911613796,0.04870010984987183,0.05073280268111069
2022-11-01,ZOREN.IS,2.834,0.1522264596873825,-0.029999999999999805,-0.001975877037971502,-0.010474860335195513,-0.012813534995197218
2022-11-02,ZOREN.IS,2.979,0.1601268544399054,0.14500000000000002,0.00790039475252291,0.05116443189837683,0.05189895875360584
2022-11-03,ZOREN.IS,3.276,0.1759871071716358,0.2969999999999997,0.01586025273173039,0.09969788519637457,0.09904805029241759
2022-11-04,ZOREN.IS,3.536,0.19001558385727335,0.26000000000000023,0.014028476685637559,0.07936507936507953,0.0797130932549277
2022-11-07,ZOREN.IS,3.572,0.19204301075268815,0.03600000000000003,0.0020274268954147967,0.010180995475113086,0.010669792730988004
2022-11-08,ZOREN.IS,3.518,0.19073953589243114,-0.05400000000000027,-0.0013034748602570034,-0.01511758118701012,-0.00678741108644465
2022-11-09,ZOREN.IS,3.615,0.1949733024108732,0.09700000000000042,0.004233766518442067,0.027572484366117145,0.0221965860335831
2022-11-10,ZOREN.IS,3.76,0.20231369383911754,0.14499999999999957,0.0073403914282443306,0.04011065006915615,0.03764818740555409
2022-11-11,ZOREN.IS,4.135,0.22371909322079747,0.375,0.02140539938167993,0.0997340425531914,0.10580301795439406
2022-11-14,ZOREN.IS,4.547,0.24589011464417043,0.4119999999999999,0.02217102142337296,0.09963724304715837,0.09910205295482521
2022-11-15,ZOREN.IS,4.874,0.26216986714001395,0.32699999999999996,0.016279752495843514,0.07191554871343753,0.06620742976756944
2022-11-16,ZOREN.IS,4.729,0.25413800515907137,-0.14499999999999957,-0.008031861980942578,-0.02974969224456292,-0.030636098910074572
2022-11-17,ZOREN.IS,4.571,0.2456998494947323,-0.15800000000000036,-0.008438155664339059,-0.03341086910551916,-0.033203045168539
2022-11-18,ZOREN.IS,4.693,0.2523253938383784,0.12199999999999989,0.006625544343646067,0.02669000218770501,0.02696600896285095
2022-11-21,ZOREN.IS,4.959,0.26646963997850615,0.266,0.01414424614012777,0.05668016194331993,0.056055579365062114
2022-11-22,ZOREN.IS,5.159,0.2773506800709639,0.20000000000000018,0.010881040092457772,0.04033071183706394,0.04083407060307298
2022-11-23,ZOREN.IS,5.316,0.2856221792392005,0.15700000000000003,0.008271499168236607,0.030432254312851237,0.029823251798481998
2022-11-24,ZOREN.IS,5.213,0.28013326884840667,-0.10299999999999976,-0.005488910390793855,-0.019375470278404805,-0.01921738152623309
2022-11-25,ZOREN.IS,4.995,0.26815912385247226,-0.21799999999999997,-0.01197414499593441,-0.04181853059658547,-0.0427444588968624
2022-11-28,ZOREN.IS,4.753,0.2555926005592601,-0.242,-0.012566523293212173,-0.04844844844844842,-0.04686218806459719
2022-11-29,ZOREN.IS,4.644,0.24943602964872708,-0.10899999999999999,-0.00615657091053301,-0.02293288449400377,-0.024087437965973457
2022-11-30,ZOREN.IS,4.777,0.25627682403433477,0.133,0.006840794385607696,0.028639104220499645,0.02742504519191291
2022-12-01,ZOREN.IS,4.68,0.25120772946859904,-0.09700000000000042,-0.005069094565735732,-0.020305631149256986,-0.019779761922820605
2022-12-02,ZOREN.IS,4.565,0.2449954382010412,-0.11499999999999932,-0.006212291267557846,-0.024572649572649485,-0.02472969793047064
2022-12-05,ZOREN.IS,4.529,0.2430894745316945,-0.036000000000000476,-0.0019059636693466997,-0.00788608981380079,-0.007779588401081505
2022-12-06,ZOREN.IS,4.487,0.24091275167785237,-0.041999999999999815,-0.002176722853842128,-0.009273570324574876,-0.008954410132464674
2022-12-07,ZOREN.IS,4.293,0.23047189563536805,-0.19399999999999995,-0.01044085604248432,-0.04323601515489195,-0.04333874388038117
2022-12-08,ZOREN.IS,4.172,0.22397594889139422,-0.12100000000000044,-0.006495946743973829,-0.028185418122525174,-0.028185418122525174
2022-12-09,ZOREN.IS,4.414,0.23681527978968828,0.242,0.01283933089829406,0.05800575263662511,0.0573245965106719
2022-12-12,ZOREN.IS,4.608,0.2472633612363168,0.19399999999999995,0.01044808144662851,0.0439510647938377,0.04411911873214969
2022-12-13,ZOREN.IS,4.529,0.24325921151573748,-0.07899999999999974,-0.004004149720579303,-0.01714409722222221,-0.016193865927238704
2022-12-14,ZOREN.IS,4.238,0.22749476622470344,-0.2909999999999995,-0.015764445291034046,-0.06425259439169784,-0.0648051319117845
2022-12-15,ZOREN.IS,4.402,0.23656491831470336,0.1639999999999997,0.009070152089999922,0.03869749882019824,0.03986971762260705
2022-12-16,ZOREN.IS,4.359,0.2337892196299276,-0.04300000000000015,-0.002775698684775757,-0.00976828714220812,-0.011733348733827142
2022-12-19,ZOREN.IS,4.359,0.23406540299629489,0.0,0.000276183366367283,0.0,0.0011813349084464075
2022-12-20,ZOREN.IS,4.347,0.23314561544650042,-0.011999999999999567,-0.0009197875497944652,-0.002752924982794114,-0.003929617696678656
2022-12-21,ZOREN.IS,4.432,0.2378065139239148,0.08499999999999996,0.0046608984774143825,0.01955371520588911,0.019991362344465413
2022-12-22,ZOREN.IS,4.402,0.23596890913964083,-0.03000000000000025,-0.0018376047842739718,-0.006768953068592154,-0.007727310551560063
2022-12-23,ZOREN.IS,4.408,0.2361006963042314,0.006000000000000227,0.00013178716459055773,0.0013630168105407403,0.0005584937654332656
2022-12-26,ZOREN.IS,4.372,0.2347634645331042,-0.036000000000000476,-0.0013372317711271842,-0.008166969147005543,-0.005663819683971116
2022-12-27,ZOREN.IS,4.22,0.22618856193385858,-0.15200000000000014,-0.00857490259924562,-0.034766697163769456,-0.036525711597838795
2022-12-28,ZOREN.IS,4.033,0.2161655142841829,-0.1869999999999994,-0.010023047649675682,-0.04431279620853068,-0.04431279620853057
2022-12-29,ZOREN.IS,4.244,0.22702471381191827,0.2109999999999994,0.01085919952773537,0.05231837341929069,0.050235577879731874
2022-12-30,ZOREN.IS,4.305,0.23017697695556863,0.06099999999999994,0.003152263143650358,0.014373232799246072,0.013885110086569119
2023-01-02,ZOREN.IS,4.347,0.23314561544650042,0.0420000000000007,0.002968638490931791,0.00975609756097584,0.012897199929360559
2023-01-03,ZOREN.IS,4.269,0.22776503227871742,-0.07800000000000029,-0.005380583167783004,-0.01794340924775717,-0.023078208687212776
2023-01-04,ZOREN.IS,4.063,0.21719142566953545,-0.2060000000000004,-0.010573606609181968,-0.04825486062309681,-0.04642330959847685
2023-01-05,ZOREN.IS,3.857,0.2058603757472246,-0.20599999999999952,-0.011331049922310849,-0.050701452128968594,-0.05217079766100641
